claim_id,source,assertion,verdict,evidence,note
B2-S5-digital-function-absent,methods / Table B2 step 5,"Digital function — reassurance seeking, avoidance, support seeking — is largely absent from the slow-clock cohorts and is declared non-harmonisable.",UNVERIFIABLE,"absence confirmed against the dictionaries of lsac, abcd, ttm; NOT confirmable for tess (published_profile), astra (reconstructed), lsic (not ingested), where no dictionary exists, so silence is not evidence","Reassurance seeking and avoidance through a digital channel are absent from all six dictionaries. Support seeking is not: see claim B2-S5-support-seeking-partial. The word ""largely"" in the application is doing real work and should be kept."
B2-S5-wp2-mechanisms-absent,methods / WP1 note (mechanisms WP2 and WP3 add),"Intolerance of uncertainty, rumination and AI interaction are not observed by the historical cohorts.",UNVERIFIABLE,"absence confirmed against the dictionaries of lsac, abcd, ttm; NOT confirmable for tess (published_profile), astra (reconstructed), lsic (not ingested), where no dictionary exists, so silence is not evidence",Rumination has been removed from this check and given its own claim: the custodian's TESS matrix shows it measured across six waves. Intolerance of uncertainty and AI interaction remain absent from all six.
WP1-no-missing-variable,methods / WP1 note,A replicated WP1 signature never requires a variable a cohort does not hold.,UNVERIFIABLE,"core construct not found for astra:anx_caseness, astra:sleep_duration, astra:sleep_timing, astra:digital_exposure_broad, astra:physical_activity. not confirmed for astra (reconstructed) — no custodian dictionary held, so absence here is unproven",
A4-TESS-applevel,impact / A4 item 1,TESS holds app-level time-stamped digital use.,PASS,"Settled by the custodian, who confirmed on 2026-09-09 that the cohort captures app-level objective phone use in the later adolescent waves. The substance of the claim holds; the exact wording should be agreed with him, because the capture is aggregate rather than event-level and ""time-stamped"" overstates it. The documentation itself is unpublished and is not reproduced here.",
B-feasibility-waves,methods / Feasibility paragraph vs impact / A3,CI LW co-authors TESS's five-wave analyses (methods) / seven-wave data (impact).,PASS,"Not a contradiction, and an earlier version of this audit wrongly called it one. The two numbers describe two different papers, each cited in its own component. Component B's reference 3 is Wichstrom, Hygen, Kuss, Stavropoulos et al., a FIVE-wave internet gaming disorder study in Addiction 2026;121(2):413-22 — the number is right because the claim is specifically about analyses co-authored WITH THE CIA, and Stavropoulos is an author. Component A's reference 23 is Wichstrom, Groni, Walstad, Raballo, Kvarstein and Steinsbekk, a SEVEN-wave Cluster A personality study in Eur Child Adolesc Psychiatry 2026;35(4):1309-19, which has no CIA authorship. Changing ""five-wave"" to ""seven-wave"" in Component B would break the link to its own reference 3 and misdescribe the joint work. Leave both as they are. Lesson recorded here because the failure was in the audit, not the application: a number was checked against the external literature without first checking which reference the sentence points at.",
B1-C1-instrument,methods / Table B1 / cohort 1 LSAC / anxiety measure,LSAC measures anxiety with the SCAS short form (CAS-8) in adolescence.,PASS,"45 variables resolve to instrument 'scas_cas8' in lsac (official_dictionary); waves 5, 6, 7, 8; e.g. gse16b1, gse16b2, gse16b3",
B1-C1-sdq,methods / Table B1 / cohort 1 LSAC / anxiety measure,LSAC uses SDQ Emotional Symptoms outside adolescence.,PASS,"68 variables resolve to instrument 'sdq_emotional' in lsac (official_dictionary); waves 1, 2, 3, 4, 5, 6, 7, 8; e.g. caemot, ctemot, daemot",
B1-C2-cbcl,methods / Table B1 / cohort 2 ABCD / anxiety measure,ABCD measures CBCL internalising.,PASS,"1472 variables resolve to instrument 'cbcl' in abcd (official_dictionary); waves 00A, 01A, 02A, 03A, 04A, 05A, 06A, 07A; e.g. mh_p_cbcl_dtt, mh_p_cbcl_dtt, mh_p_cbcl_dtt",
B1-C2-ksads,methods / Table B1 / cohort 2 ABCD / anxiety measure,ABCD measures K-SADS anxiety disorders.,PASS,"61176 variables resolve to instrument 'ksads' in abcd (official_dictionary); waves 00A, 01A, 02A, 03A, 04A, 05A, 06A, 07A; e.g. mh_p_kbi_dtt, mh_p_kbi_dtt, mh_p_kbi_dtt",
B1-C3-papacapa,methods / Table B1 / cohort 3 TESS / anxiety measure,"TESS uses PAPA and CAPA interviews, the strongest clinical anxiety phenotype in the set.",PASS,"12 variables resolve to instrument 'papa_capa' in tess (published_profile); waves age4, age6, age8, age10, age12, age14; e.g. tess__00, tess__00, tess__00",
B1-C4-distress-earlier,methods / Table B1 / cohort 4 Ten to Men / anxiety measure,Ten to Men carries distress measures before Wave 3.,PASS,"52 variables for k10/phq in ttm before wave 3; waves 1, 2; instruments named in the dictionary: Patient Health Questionnaire 9 (PHQ-9); Patient Health Questionnaire 9 Modified (PHQ-9M)","""distress measures"" is not specified in the application. The dictionary names the instrument, so the Table B1 cell can be made precise."
B1-C4-gad7-wave3,methods / Table B1 / cohort 4 Ten to Men / anxiety measure,Ten to Men measures GAD-7 from Wave 3.,PASS,"'gad7' appears in ttm at waves 3, 4, 4.1, 5; application says from wave 3; first observed wave 3",
B1-note-core-functioning,methods / Table B1 note,All six cohorts collect education and functioning.,PASS,"variables matched: lsac=673, abcd=12116, tess=11, ttm=126, astra=36",
B1-note-core-social,methods / Table B1 note,All six cohorts collect social context.,PASS,"variables matched: lsac=6457, abcd=32269, tess=30, ttm=138, astra=18",
B2-S2-thresholds-cited,methods / Table B2 step 2,"Caseness applies published, instrument-specific thresholds.",PASS,every threshold carries a citation,
B2-S3-anchor-items,methods / Table B1 note and Table B2 step 3,Step 3 is used only where genuine common items and adequate linking information exist.,PASS,20 cohort pairs assessed; 1 with anchor candidates; 19 fall back to harmonising the inference. Feasible: lsac-ttm on gad7; scas_cas8 (6 candidates),
B2-S4-era-carried,methods / Table B2 step 4,"Digital era enters the model, so it must be carried on every row.",PASS,'digital_era' is populated on every row,
B2-S5-rumination-in-tess,methods / WP1 note (mechanisms WP2 and WP3 add),Rumination is among the proximal mechanisms the historical cohorts cannot observe.,PASS,no cohort holds this construct,"This one improves the application. A Tier 1 cohort measures rumination repeatedly across waves, which converts ""WP2 adds a mechanism the slow clock cannot see"" into ""a Tier 1 cohort already tracks this mechanism longitudinally, and WP2 measures it densely"". Instrument and wave detail comes from documentation supplied privately by the custodian and is withheld pending consent to publish; it is available to the study team in the local overlay."
